Currency Portfolio,SD_A,SD_B,Correlation,Weight_A,Weight_B,SD_Portfolio
"EURJPY, USDCHF",0.003256026254424975,0.00410165576752468,-0.323076275,0.5856971429717096,0.4133028570444751,0.0021027800676035324
"EURJPY, USDJPY",0.003256026254424975,0.0032627106971484447,0.46080766,0.5013981467906883,0.4976018532276172,0.0027827833402257625
"EURNZD, AUDCAD",0.004604539279170059,0.0039372166273831145,-0.394719099,0.4436911252907584,0.5553088750202047,0.002329769150011738
"EURNZD, AUDCHF",0.004604539279170059,0.004929714412086799,-0.667260766,0.5199298571671073,0.47907014283310645,0.0019400071349363192
"EURNZD, AUDJPY",0.004604539279170059,0.005240560682396569,-0.597132803,0.5398272165546851,0.45917278470894707,0.0021967304533193626
"EURNZD, AUDNZD",0.004604539279170059,0.0026594863002857142,0.634973658,0.10000966407506473,0.8989908479741651,0.0027067384675261265
"EURNZD, AUDUSD",0.004604539279170059,0.005694980352076298,-0.575179712,0.566438097739831,0.43256190231240277,0.0023409336042783378
"EURNZD, CADCHF",0.004604539279170059,0.004572709310072677,-0.296545232,0.49682201743345794,0.5021779825668093,0.0027185945241450377
"EURNZD, CADJPY",0.004604539279170059,0.005006462273863392,-0.283314479,0.5320325043416192,0.4669674957232958,0.0028673539643127507
"EURNZD, CHFJPY",0.004604539279170059,0.003540047728632148,-0.095962043,0.38295114208716696,0.6160488579383504,0.002669700803116024
"EURNZD, GBPAUD",0.004604539279170059,0.0037629093399284635,0.479429796,0.3118751873350455,0.687124813068987,0.0035082388867829816
"EURNZD, GBPCAD",0.004604539279170059,0.0036677072192094467,0.087686133,0.37735624859853933,0.6216437514023011,0.002985344047765634
"EURNZD, GBPCHF",0.004604539279170059,0.003926983303523448,-0.29239949,0.4383195958212516,0.5606804042797439,0.0025144596680335765
"EURNZD, GBPJPY",0.004604539279170059,0.004258289372084055,-0.316101195,0.4698700012564541,0.5291299988710886,0.0025837664422851164
"EURNZD, GBPNZD",0.004604539279170059,0.004486613738405376,0.724281843,0.41487727547665987,0.5841229526247687,0.004215413136269346
"EURNZD, GBPUSD",0.004604539279170059,0.004008065275354046,-0.350440022,0.44839771827175556,0.5506022818789839,0.002437115897974824
"EURNZD, NZDCAD",0.004604539279170059,0.004623473598561431,0.048307403,0.5016639287759488,0.49733607123599655,0.0033371073514753364
"EURNZD, NZDCHF",0.004604539279170059,0.0053085813137106206,0.128462815,0.5803653063088622,0.418634693714086,0.0036886275705985748
"EURNZD, NZDJPY",0.004604539279170059,0.006011406094778575,-0.801427808,0.5728348299752689,0.4261651710791432,0.0016399224141527915
"EURNZD, NZDUSD",0.004604539279170059,0.00631840931500294,-0.789597869,0.5868350241519525,0.41216497635187965,0.0017235821259649832
"EURNZD, USDCAD",0.004604539279170059,0.00428429729945368,0.390458214,0.4405848111364571,0.5584151891704645,0.003691801321200439
"EURNZD, USDCHF",0.004604539279170059,0.00410165576752468,0.091256989,0.43625471030914975,0.5627452896998851,0.0031951609820342944
"EURNZD, USDJPY",0.004604539279170059,0.0032627106971484447,0.025093505,0.32990761741261,0.6690923827917036,0.0026906767186879585
"AUDCAD, AUDCHF",0.0039372166273831145,0.004929714412086799,0.437720234,0.6922398986161398,0.30676010301114726,0.0036501276917013967
"AUDCAD, AUDJPY",0.0039372166273831145,0.005240560682396569,0.188851702,0.6693637132416237,0.32963628698506214,0.0034130962297646123
"AUDCAD, AUDNZD",0.0039372166273831145,0.0026594863002857142,-0.08204932,0.32619554327914146,0.6728044567736035,0.0021151776058147176
"AUDCAD, AUDUSD",0.0039372166273831145,0.005694980352076298,0.5708987,0.8782126082406205,0.12078739176762837,0.0038916224789690033
"AUDCAD, CADCHF",0.0039372166273831145,0.004572709310072677,-0.479551434,0.5498248395657699,0.4491751604409788,0.0021541749567196055
"AUDCAD, CADJPY",0.0039372166273831145,0.005006462273863392,-0.466770359,0.5805157723415701,0.418484228387194,0.002267860294525455
"AUDCAD, CHFJPY",0.0039372166273831145,0.003540047728632148,-0.196450419,0.45522896981004146,0.5437710302945848,0.002358475876832731
"AUDCAD, GBPAUD",0.0039372166273831145,0.0037629093399284635,-0.561542892,0.48501399548006685,0.5139860045202981,0.0017998157076631422
"AUDCAD, GBPCAD",0.0039372166273831145,0.0036677072192094467,0.52556716,0.4133749969994216,0.5856250168066529,0.003307106553258597
"AUDCAD, GBPCHF",0.0039372166273831145,0.003926983303523448,-0.070182856,0.49828188153069264,0.5007181191416442,0.0026783835002705536
"AUDCAD, GBPJPY",0.0039372166273831145,0.004258289372084055,-0.192072764,0.5323004354963525,0.46669956453297157,0.0025965073468251104
"AUDCAD, GBPNZD",0.0039372166273831145,0.004486613738405376,-0.463540273,0.543954471748246,0.4550455284924393,0.0021682488668522313
"AUDCAD, GBPUSD",0.0039372166273831145,0.004008065275354046,0.26382132,0.5116110985994079,0.4873889015598392,0.0031543397650550904
"AUDCAD, NZDCAD",0.0039372166273831145,0.004623473598561431,-0.143318386,0.569223180307262,0.4297768197945806,0.0027739334425026874
"AUDCAD, NZDCHF",0.0039372166273831145,0.0053085813137106206,-0.089592658,0.6330550094917743,0.36594499078260495,0.0030197182803044023
"AUDCAD, NZDJPY",0.0039372166273831145,0.006011406094778575,0.181781018,0.7390207416094556,0.2599792593402331,0.0035442897346581524
"AUDCAD, NZDUSD",0.0039372166273831145,0.00631840931500294,0.491947064,0.8936514785728311,0.10534852148578944,0.00388937329630107
"AUDCAD, USDCAD",0.0039372166273831145,0.00428429729945368,0.148448918,0.5489103627096447,0.4500896383331953,0.0031026453615345963
"AUDCAD, USDCHF",0.0039372166273831145,0.00410165576752468,-0.319382531,0.5149797949762465,0.48402020502690163,0.0023412001894900533
"AUDCAD, USDJPY",0.0039372166273831145,0.0032627106971484447,-0.59719733,0.44104316597850224,0.5579568341540847,0.0015980351611409064
"AUDCHF, AUDJPY",0.004929714412086799,0.005240560682396569,0.687310733,0.5966668700343972,0.4023331310676749,0.004650000160165668
"AUDCHF, AUDNZD",0.004929714412086799,0.0026594863002857142,-0.102655065,0.24688099841907063,0.7521190017379348,0.0022321311089052408
"AUDCHF, AUDUSD",0.004929714412086799,0.005694980352076298,0.619485137,0.6845150411282703,0.3144849588719042,0.0046992015572282315
"AUDCHF, CADCHF",0.004929714412086799,0.004572709310072677,0.556763773,0.41163343968764143,0.5873665758365796,0.0041714036587984435
"AUDCHF, CADJPY",0.004929714412086799,0.005006462273863392,0.317024173,0.5108025012991693,0.4881974987693569,0.004027038493103486
"AUDCHF, CHFJPY",0.004929714412086799,0.003540047728632148,-0.126994898,0.3570366269911492,0.6419633731998672,0.0026919493463214194
"AUDCHF, GBPAUD",0.004929714412086799,0.0037629093399284635,-0.507832823,0.4108452697754621,0.5881547320950193,0.0021089112146964813
"AUDCHF, GBPCAD",0.004929714412086799,0.0036677072192094467,-0.089263751,0.36726218925653875,0.6317378109364654,0.002810268354763443
"AUDCHF, GBPCHF",0.004929714412086799,0.003926983303523448,0.596654943,0.232584608805822,0.766415391380176,0.0038066869183597065
"AUDCHF, GBPJPY",0.004929714412086799,0.004258289372084055,0.372118602,0.38457426644243714,0.6144257335644412,0.003759176053980922
"AUDCHF, GBPNZD",0.004929714412086799,0.004486613738405376,-0.404489113,0.4660503924204753,0.5329496075832267,0.002559649001370613
"AUDCHF, GBPUSD",0.004929714412086799,0.004008065275354046,0.373153553,0.33891246333636016,0.6600875370923196,0.003617986045102003
"AUDCHF, NZDCAD",0.004929714412086799,0.004623473598561431,-0.069492464,0.46956729789325286,0.5294327021154395,0.0032500361610243497
